FirstName,LastName,ManagedCarePlan,SubNetwork,NPI,Taxonomy,MCNAProviderGroup,MCNAProviderType,LicensureType,PrimaryCare,Specialist,SeesChildren,Telehealth,BHIndicator,OSHPD_ID
DANIEL,PATIAG,Blue Shield of California Promise,Blue Shield of California Promise,1073169769,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306374553
ROBERT,FREDRICKS,Blue Shield of California Promise,Blue Shield of California Promise,1073524492,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,N,Only,No,,306370856
JEFFREY,NORRIS,Blue Shield of California Promise,Blue Shield of California Promise,1073870374,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306374018
ESTELA,NICHOLAS,Blue Shield of California Promise,Blue Shield of California Promise,1558384792,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306370856
Maria,Bahramzi,Blue Shield of California Promise,Blue Shield of California Promise,1588141865,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306374160
PATRICIA,ROSE,Blue Shield of California Promise,Blue Shield of California Promise,1588677314,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306374260
HEATHER,LIPPERT,Blue Shield of California Promise,Blue Shield of California Promise,1093991663,1041C0700X,Mental Health Outpatient Services,Mental Health Outpatient Services,CSW,N,Y,Both,No,,306374160
Brenda,Figueroa Rodriguez,Blue Shield of California Promise,Blue Shield of California Promise,1134205214,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,N,Only,No,,306374549
Lwbba,Chait Llamas,Blue Shield of California Promise,Blue Shield of California Promise,1134567530,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,N,Only,No,,306370507
Elizabeth,Sophy,Blue Shield of California Promise,Blue Shield of California Promise,1013441203,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306374018
RICHARD,MACGURN,Blue Shield of California Promise,Blue Shield of California Promise,1023442993,171100000X,Non-ANC Provider Type,Other,OTH,N,Y,Both,No,,306374160
Ashley,Doruelo,Blue Shield of California Promise,Blue Shield of California Promise,1033613732,207V00000X,OB/GYN Primary and Specialty Care,Obstetrics & Gynecology,MD,N,Y,Both,No,,306374436
NASSRIN,RAHIMI,Blue Shield of California Promise,Blue Shield of California Promise,1063438166,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,N,Only,No,,306370856
JODI,SEBSO,Blue Shield of California Promise,Blue Shield of California Promise,1538484316,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,N,Only,No,,306374160
DANIEL,PATIAG,Blue Shield of California Promise,Blue Shield of California Promise,1073169769,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306370738
CHRISTINE,RODRIGUEZ,Blue Shield of California Promise,Blue Shield of California Promise,1568656619,103T00000X,Mental Health Outpatient Services,Mental Health Outpatient Services,PSY,N,Y,Both,No,,306374160
MARK,HACHOLSKI,Blue Shield of California Promise,Blue Shield of California Promise,1568995694,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306374160
KATHY,ROZELL,Blue Shield of California Promise,Blue Shield of California Promise,1578603973,1041C0700X,Mental Health Outpatient Services,Mental Health Outpatient Services,CSW,N,Y,Both,No,,306374260
FRANCIS,YSLA,Blue Shield of California Promise,Blue Shield of California Promise,1578978854,2084P0800X,Adult Core Specialist,Psychiatry,MD,N,Y,Both,No,,306374438
Kristi,King,Blue Shield of California Promise,Blue Shield of California Promise,1588988703,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306371511
Ashley,Doruelo,Blue Shield of California Promise,Blue Shield of California Promise,1033613732,207V00000X,OB/GYN Primary and Specialty Care,Obstetrics & Gynecology,MD,N,Y,Only,No,,306374160
Ahmed,Al-Tameemi,Blue Shield of California Promise,Blue Shield of California Promise,1134513211,207R00000X,Non-ANC Provider Type,Other,MD,Y,N,No,No,,306374549
SANTOSH,VETTICADEN,Blue Shield of California Promise,Blue Shield of California Promise,1679102461,207R00000X,Non-ANC Provider Type,Other,MD,Y,N,Both,No,,306371511
PALOMA,ARVIZU,Blue Shield of California Promise,Blue Shield of California Promise,1689139396,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306374436
MEARA,Henley,Blue Shield of California Promise,Blue Shield of California Promise,1538319645,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306334730
DEBORAH,BIRNBAUM,Blue Shield of California Promise,Blue Shield of California Promise,1639308265,2084P0800X,Adult Core Specialist,Psychiatry,MD,N,Y,Both,No,,306374438
Rodrigo,Naranjo,Blue Shield of California Promise,Blue Shield of California Promise,1609095264,207R00000X,Non-ANC Provider Type,Other,MD,Y,N,Both,No,,306374553
WENDY,DAN,Blue Shield of California Promise,Blue Shield of California Promise,1700224037,1041C0700X,Mental Health Outpatient Services,Mental Health Outpatient Services,CSW,N,Y,Both,No,,306374438
Roberto,Rodriguez Jerez,Blue Shield of California Promise,Blue Shield of California Promise,1710316450,207V00000X,OB/GYN Primary and Specialty Care,Obstetrics & Gynecology,MD,N,Y,Both,No,,306374260
SARAH,SCHNEIDER,Blue Shield of California Promise,Blue Shield of California Promise,1326282237,213E00000X,Non-ANC Provider Type,Other,OTH,N,Y,Both,No,,306370024
DEVARSHI,NATH,Blue Shield of California Promise,Blue Shield of California Promise,1275630618,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306334730
Wanda,Freeman,Blue Shield of California Promise,Blue Shield of California Promise,1659504264,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306334730
Iris,Arrieta,Blue Shield of California Promise,Blue Shield of California Promise,1659614303,207V00000X,OB/GYN Primary and Specialty Care,Obstetrics & Gynecology,MD,N,Y,Both,No,,306370856
MIKHAEL,ANDAYA,Blue Shield of California Promise,Blue Shield of California Promise,1780189209,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306370410
HENRY,SHIN,Blue Shield of California Promise,Blue Shield of California Promise,1780775379,213E00000X,Non-ANC Provider Type,Other,OTH,N,Y,Both,No,,306370024
ELISABETH,QUICK,Blue Shield of California Promise,Blue Shield of California Promise,1790055010,363A00000X,Non-Physician Medical Practitioner,Physician Assistant,NPA,Y,N,Both,No,,306374494
ERIN,FORTUNE,Blue Shield of California Promise,Blue Shield of California Promise,1801088422,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,N,Only,No,,306374160
TU-UYEN,TRAN,Blue Shield of California Promise,Blue Shield of California Promise,1598293748,363A00000X,Non-Physician Medical Practitioner,Physician Assistant,NPA,Y,N,Both,No,,306374260
MARIA,QUAN,Blue Shield of California Promise,Blue Shield of California Promise,1043281405,207V00000X,OB/GYN Primary and Specialty Care,Obstetrics & Gynecology,MD,N,Y,Both,No,,306370856
David,Mignea,Blue Shield of California Promise,Blue Shield of California Promise,1043736879,225100000X,Ancillary Provider,Physical Therapist,OTH,N,Y,Both,No,,306370024
JOSEPH,WEIGEL,Blue Shield of California Promise,Blue Shield of California Promise,1063563542,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,N,Y,Both,No,,106190782
JESSICA,Randalls,Blue Shield of California Promise,Blue Shield of California Promise,1538410550,363A00000X,Non-Physician Medical Practitioner,Physician Assistant,NPA,Y,N,Both,No,,306334730
AKI YEN CHANG,WEN,Blue Shield of California Promise,Blue Shield of California Promise,1205126505,207R00000X,Non-ANC Provider Type,Other,MD,Y,N,Both,No,,306370507
CAROLYN,PATEMAN,Blue Shield of California Promise,Blue Shield of California Promise,1205859444,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306370856
DANIELLE,FLYNN,Blue Shield of California Promise,Blue Shield of California Promise,1477785137,103T00000X,Mental Health Outpatient Services,Mental Health Outpatient Services,PSY,N,Y,Both,No,,306334730
TANEN,ST CLAIR BROWN,Blue Shield of California Promise,Blue Shield of California Promise,1487040739,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306370020
GARY,BLAKE,Blue Shield of California Promise,Blue Shield of California Promise,1497738439,207V00000X,OB/GYN Primary and Specialty Care,Obstetrics & Gynecology,MD,N,Y,Both,No,,306370738
MARY JO,GEORGIEV,Blue Shield of California Promise,Blue Shield of California Promise,1518996875,103T00000X,Mental Health Outpatient Services,Mental Health Outpatient Services,PSY,N,Y,Both,No,,306334730
KELLY,REMBOLT,Blue Shield of California Promise,Blue Shield of California Promise,1528580792,363A00000X,Non-Physician Medical Practitioner,Physician Assistant,NPA,Y,N,Both,No,,306374494
KEVIN,MOULD,Blue Shield of California Promise,Blue Shield of California Promise,1255351748,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306371511
DEBBIE,MAOKHAMPHIOU,Blue Shield of California Promise,Blue Shield of California Promise,1275025827,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306370856
SARAH,CARREIRA,Blue Shield of California Promise,Blue Shield of California Promise,1023307436,2084P0800X,Adult Core Specialist,Psychiatry,MD,N,Y,Both,No,,306374018
DEBORAH,RANA,Blue Shield of California Promise,Blue Shield of California Promise,1033191457,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,N,Only,No,,306374432
Ashley,Doruelo,Blue Shield of California Promise,Blue Shield of California Promise,1033613732,207V00000X,OB/GYN Primary and Specialty Care,Obstetrics & Gynecology,MD,N,Y,Both,No,,306370024
TANEN,ST CLAIR BROWN,Blue Shield of California Promise,Blue Shield of California Promise,1487040739,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306370021
JAMIE,SPENCE,Blue Shield of California Promise,Blue Shield of California Promise,1518133032,363A00000X,Non-Physician Medical Practitioner,Physician Assistant,NPA,Y,N,Both,No,,306334730
DANIEL,CORMAN,Blue Shield of California Promise,Blue Shield of California Promise,1629339593,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306370024
Bradley,McCammack,Blue Shield of California Promise,Blue Shield of California Promise,1629368857,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,N,Only,No,,306370856
Matthew,Rogers,Blue Shield of California Promise,Blue Shield of California Promise,1639606130,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306370021
BIANCA,PAGE,Blue Shield of California Promise,Blue Shield of California Promise,1649787607,111N00000X,Non-ANC Provider Type,Other,OTH,N,Y,Both,No,,306374164
JESSICA,TOTH,Blue Shield of California Promise,Blue Shield of California Promise,1578993788,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306374436
Suzan,Mahdai,Blue Shield of California Promise,Blue Shield of California Promise,1598015679,207R00000X,Non-ANC Provider Type,Other,MD,Y,N,Both,No,,306374436
ROOZCHEHR,SAFI,Blue Shield of California Promise,Blue Shield of California Promise,1659563641,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306334730
MARCI,KYLE,Blue Shield of California Promise,Blue Shield of California Promise,1174981500,1041C0700X,Mental Health Outpatient Services,Mental Health Outpatient Services,CSW,N,Y,Both,No,,306374534
MICHAEL,PATTON,Blue Shield of California Promise,Blue Shield of California Promise,1184756702,1041C0700X,Mental Health Outpatient Services,Mental Health Outpatient Services,CSW,N,Y,Both,No,,306374018
TIAGO,ANTONIO,Blue Shield of California Promise,Blue Shield of California Promise,1194159871,1041C0700X,Mental Health Outpatient Services,Mental Health Outpatient Services,CSW,N,Y,Both,No,,306374260
Tobe,Propst,Blue Shield of California Promise,Blue Shield of California Promise,1194814277,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306374018
ROSELYNN JOY,HOGAN,Blue Shield of California Promise,Blue Shield of California Promise,1205019510,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306374160
Jennifer,Gee,Blue Shield of California Promise,Blue Shield of California Promise,1336589332,152W00000X,Non-ANC Provider Type,Other,OTH,N,Y,Both,No,,306374031
THU,HA,Blue Shield of California Promise,Blue Shield of California Promise,1346443983,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306370738
MICHELE,PADILLA,Blue Shield of California Promise,Blue Shield of California Promise,1356083828,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306374018
Jackie,Do,Blue Shield of California Promise,Blue Shield of California Promise,1356925283,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306370856
ARTHUR,CARDONES,Blue Shield of California Promise,Blue Shield of California Promise,1962436451,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306374260
Tonnia,Tran,Blue Shield of California Promise,Blue Shield of California Promise,1982746657,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306370936
REYNALDO,HACINAS,Blue Shield of California Promise,Blue Shield of California Promise,1215304860,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306374448
Takisha,Williams,Blue Shield of California Promise,Blue Shield of California Promise,1881727386,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Only,No,,306374160
MICHAEL,JONES,Blue Shield of California Promise,Blue Shield of California Promise,1548205719,1041C0700X,Mental Health Outpatient Services,Mental Health Outpatient Services,CSW,N,Y,Both,No,,306374160
Juan,Mejias,Blue Shield of California Promise,Blue Shield of California Promise,1558560730,103T00000X,Mental Health Outpatient Services,Mental Health Outpatient Services,PSY,N,Y,Both,No,,306374093
CLAUDIO,CABREJOS,Blue Shield of California Promise,Blue Shield of California Promise,1033133483,2084P0800X,Adult Core Specialist,Psychiatry,MD,N,Y,Both,No,,306370410
LIEN,KHUAT,Blue Shield of California Promise,Blue Shield of California Promise,1366558678,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,No,No,,306374031
ANA,NOCEDA,Blue Shield of California Promise,Blue Shield of California Promise,1386971760,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306370936
CATALINA,PRESKILL,Blue Shield of California Promise,Blue Shield of California Promise,1598088759,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,N,Only,No,,306374018
LISA,WASTILA,Blue Shield of California Promise,Blue Shield of California Promise,1043375231,207R00000X,Non-ANC Provider Type,Other,MD,Y,N,Both,No,,306374018
MOLLY,DIBSY,Blue Shield of California Promise,Blue Shield of California Promise,1043725930,1041C0700X,Mental Health Outpatient Services,Mental Health Outpatient Services,CSW,N,Y,Both,No,,306370024
Yolanda,Wong,Blue Shield of California Promise,Blue Shield of California Promise,1851599872,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,Y,Only,No,,306374553
Takisha,Williams,Blue Shield of California Promise,Blue Shield of California Promise,1881727386,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306370024
MARIA,WEICKERT,Blue Shield of California Promise,Blue Shield of California Promise,1841758984,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306370024
Hector,Torres,Blue Shield of California Promise,Blue Shield of California Promise,1720265614,103T00000X,Mental Health Outpatient Services,Mental Health Outpatient Services,PSY,N,Y,Both,No,,306334730
DONIA,AHADIAN,Blue Shield of California Promise,Blue Shield of California Promise,1689238560,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306370024
Gwen,Gleason Rohrer,Blue Shield of California Promise,Blue Shield of California Promise,1710140462,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306370936
Roberto,Rodriguez Jerez,Blue Shield of California Promise,Blue Shield of California Promise,1710316450,207V00000X,OB/GYN Primary and Specialty Care,Obstetrics & Gynecology,MD,N,Y,Both,No,,306374160
Nadia,Mohamedi,Blue Shield of California Promise,Blue Shield of California Promise,1477947364,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306374432
JASON,VAN DYKE,Blue Shield of California Promise,Blue Shield of California Promise,1487658720,225100000X,Ancillary Provider,Physical Therapist,OTH,N,Y,Both,No,,306370024
STEPHANIE,WALLACE,Blue Shield of California Promise,Blue Shield of California Promise,1518104942,363A00000X,Non-Physician Medical Practitioner,Physician Assistant,NPA,Y,N,Both,No,,306370856
Christine,Madsen,Blue Shield of California Promise,Blue Shield of California Promise,1720540891,225X00000X,Non-ANC Provider Type,Other,OTH,N,Y,Both,No,,306370412
BILL,CHOU,Blue Shield of California Promise,Blue Shield of California Promise,1730448101,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306374160
IARA DEL,MELENDEZ BERRIOS,Blue Shield of California Promise,Blue Shield of California Promise,1740514249,207V00000X,OB/GYN Primary and Specialty Care,Obstetrics & Gynecology,MD,N,Y,Both,No,,306374160
NICHOLAS,ALBINO,Blue Shield of California Promise,Blue Shield of California Promise,1740843499,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,N,Only,No,,306374160
JEREMY,BLAKESPEAR,Blue Shield of California Promise,Blue Shield of California Promise,1750474177,363A00000X,Non-Physician Medical Practitioner,Physician Assistant,NPA,Y,N,Both,No,,306334730
Sheryl,Cook,Blue Shield of California Promise,Blue Shield of California Promise,1750420816,103T00000X,Mental Health Outpatient Services,Mental Health Outpatient Services,PSY,N,Y,Both,No,,306334730
MICHAEL,OWEN,Blue Shield of California Promise,Blue Shield of California Promise,1073869145,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306374160
KARIM,ZABLIT,Blue Shield of California Promise,Blue Shield of California Promise,1083700538,207W00000X,Adult Core Specialist,Ophthalmology,MD,N,Y,Both,No,,306374018
Salwa,Drame,Blue Shield of California Promise,Blue Shield of California Promise,1093136426,363A00000X,Non-Physician Medical Practitioner,Physician Assistant,NPA,Y,N,Both,No,,306370024
TU-PHUONG,DOMPOR-TRAN,Blue Shield of California Promise,Blue Shield of California Promise,1093179921,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306370024
MYRA,BUBY,Blue Shield of California Promise,Blue Shield of California Promise,1093747511,1041C0700X,Mental Health Outpatient Services,Mental Health Outpatient Services,CSW,N,Y,Both,No,,306374534
KHAWLA,SULEIMAN QAFITI,Blue Shield of California Promise,Blue Shield of California Promise,1659303121,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,N,Only,No,,306374160
TIMOTHY,SAHMS,Blue Shield of California Promise,Blue Shield of California Promise,1780697276,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,N,Only,No,,306370507
Tracy,Greer,Blue Shield of California Promise,Blue Shield of California Promise,1891101754,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306374160
TINA,DAHLENBURG,Blue Shield of California Promise,Blue Shield of California Promise,1619304417,106H00000X,Mental Health Outpatient Services,Mental Health Outpatient Services,MFT,N,Y,Both,No,,106190782
JOANNE,SANTANGELO,Blue Shield of California Promise,Blue Shield of California Promise,1619370475,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306374553
ERIC,TURNER,Blue Shield of California Promise,Blue Shield of California Promise,1669756128,363A00000X,Non-Physician Medical Practitioner,Physician Assistant,NPA,Y,N,Both,No,,306374260
BRENDA,GREEN,Blue Shield of California Promise,Blue Shield of California Promise,1508125410,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306370024
JOHN,PETITT,Blue Shield of California Promise,Blue Shield of California Promise,1497992432,207R00000X,Non-ANC Provider Type,Other,MD,Y,N,Both,No,,306374549
KAITLYN,MAHONEY,Blue Shield of California Promise,Blue Shield of California Promise,1114583176,225100000X,Ancillary Provider,Physical Therapist,OTH,N,Y,Both,No,,306370412
Camila,Romero,Blue Shield of California Promise,Blue Shield of California Promise,1508912130,2083P0500X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306370738
KUN,SAVILLE,Blue Shield of California Promise,Blue Shield of California Promise,1518377894,363A00000X,Non-Physician Medical Practitioner,Physician Assistant,NPA,Y,N,Both,No,,306374093
ELIZABETH,MANNINO,Blue Shield of California Promise,Blue Shield of California Promise,1548290463,2083P0500X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306374164
ANDRES,SMITH,Blue Shield of California Promise,Blue Shield of California Promise,1548270200,207P00000X,Non-ANC Provider Type,Other,MD,N,Y,Both,No,,306374549
Devesh,Vashishtha,Blue Shield of California Promise,Blue Shield of California Promise,1194220434,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306370024
SUSAN,WINSTON,Blue Shield of California Promise,Blue Shield of California Promise,1194092460,106H00000X,Mental Health Outpatient Services,Mental Health Outpatient Services,MFT,N,Y,Both,No,,106190782
DAYANTHIthi,KURUKULASURIYA,Blue Shield of California Promise,Blue Shield of California Promise,1205246865,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306334730
Jeanette,Dolmetsch,Blue Shield of California Promise,Blue Shield of California Promise,1164941456,363A00000X,Non-Physician Medical Practitioner,Physician Assistant,NPA,Y,N,Both,No,,306370024
ISABELLA,HANULIK,Blue Shield of California Promise,Blue Shield of California Promise,1174151120,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,N,Only,No,,306374160
MARLENE,POUNTNEY,Blue Shield of California Promise,Blue Shield of California Promise,1174703680,207V00000X,OB/GYN Primary and Specialty Care,Obstetrics & Gynecology,MD,N,Y,Both,No,,306334730
Gregor,Andree,Blue Shield of California Promise,Blue Shield of California Promise,1467436063,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,N,Only,No,,306374553
Keith,Wong,California Health and Wellness Plan,California Health and Wellness Plan,1336201615,152W00000X,Non-ANC Provider Type,Other,OTH,N,N,Both,No,,306244051
Anna Wing Yi,Szeto,California Health and Wellness Plan,California Health and Wellness Plan,1356755755,152W00000X,Non-ANC Provider Type,Other,OTH,N,N,Both,No,,306382711
ANA,NOCEDA,Blue Shield of California Promise,Blue Shield of California Promise,1386971760,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306374553
ROMANA,BAILEY,Blue Shield of California Promise,Blue Shield of California Promise,1396023685,208000000X,Pediatric Primary Care,Pediatric Primary Care,MD,Y,N,Only,No,,306370856
LAUREL,DANG,Blue Shield of California Promise,Blue Shield of California Promise,1396366050,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306374160
JOHN,ANDREWS,Blue Shield of California Promise,Blue Shield of California Promise,1003164302,207R00000X,Non-ANC Provider Type,Other,MD,Y,N,Both,No,,306374018
CYNTHIA,JAUREGUI,Blue Shield of California Promise,Blue Shield of California Promise,1003953886,106H00000X,Mental Health Outpatient Services,Mental Health Outpatient Services,MFT,N,Y,Both,No,,306370024
KATHRINE,KEMP,Blue Shield of California Promise,Blue Shield of California Promise,1316615313,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,Both,No,,306374018
MATTHEW,SUGGS,Blue Shield of California Promise,Blue Shield of California Promise,1326543596,2084P0800X,Adult Core Specialist,Psychiatry,MD,N,Y,Both,No,,306370813
Priya,Chakrabarti,Blue Shield of California Promise,Blue Shield of California Promise,1326531401,207V00000X,OB/GYN Primary and Specialty Care,Obstetrics & Gynecology,MD,N,Y,Only,No,,306374160
Jennifer,Gee,Blue Shield of California Promise,Blue Shield of California Promise,1336589332,152W00000X,Non-ANC Provider Type,Other,OTH,N,Y,Both,No,,306370856
TANIA,GUTIERREZ,Blue Shield of California Promise,Blue Shield of California Promise,1285196311,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306370024
BARBARA,ROSENFARB,Blue Shield of California Promise,Blue Shield of California Promise,1447477781,1041C0700X,Mental Health Outpatient Services,Mental Health Outpatient Services,CSW,N,Y,Both,No,,306374438
ROCHELLE,ZANGEN,Blue Shield of California Promise,Blue Shield of California Promise,1447681150,363A00000X,Non-Physician Medical Practitioner,Physician Assistant,NPA,Y,N,Both,No,,306334730
Alexander,Medina,Blue Shield of California Promise,Blue Shield of California Promise,1467714436,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306374565
ALLISON,ESTRADA,Blue Shield of California Promise,Blue Shield of California Promise,1467913251,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,Y,Both,No,,306371226
Jacqueline,Marston,Blue Shield of California Promise,Blue Shield of California Promise,1417205055,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306370738
LIEN,KHUAT,Blue Shield of California Promise,Blue Shield of California Promise,1366558678,363L00000X,Non-Physician Medical Practitioner,Nurse Practitioner,NPA,Y,N,No,No,,306370856
Jennifer,Gee,Blue Shield of California Promise,Blue Shield of California Promise,1336589332,152W00000X,Non-ANC Provider Type,Other,OTH,N,Y,Both,No,,306370856
Daniel,Gallares,Blue Shield of California Promise,Blue Shield of California Promise,1245689488,207R00000X,Non-ANC Provider Type,Other,MD,Y,N,Both,No,,306374436
VERONICA,PALOMINO,Blue Shield of California Promise,Blue Shield of California Promise,1255569083,207Q00000X,Adult Primary Care,Adult Primary Care,MD,Y,N,Both,No,,306370024
