OSHPD_ID,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings
106060870,GI Hemorrhage,,,,
106060870,PCI,,,,
106060870,Acute Stroke Subarachnoid,,,,
106060870,Acute Stroke,,,,
106060870,Heart Failure,0.0,3.0,0.0,As Expected
106060870,Acute Stroke Ischemic,,,,
106060870,Pneumonia,,,,
106060870,AMI,1.0,4.0,12.2,As Expected
106060870,Pancreatic Resection,,,,
106060870,Acute Stroke Hemorrhagic,,,,
106060870,Carotid Endarterectomy,,,,
106070924,Acute Stroke Ischemic,0.0,49.0,0.0,As Expected
106070924,GI Hemorrhage,0.0,92.0,0.0,As Expected
106070924,Carotid Endarterectomy,,,,
106070924,Acute Stroke Subarachnoid,,,,
106070924,Pneumonia,1.0,130.0,2.1,As Expected
106070924,Pancreatic Resection,,,,
106070924,Acute Stroke,0.0,52.0,0.0,As Expected
106070924,PCI,,,,
106070924,Hip Fracture,1.0,23.0,4.5,As Expected
106070924,Acute Stroke Hemorrhagic,0.0,3.0,0.0,As Expected
106070924,AMI,0.0,45.0,0.0,As Expected
106070924,Heart Failure,0.0,335.0,0.0,Better
106070934,Acute Stroke Subarachnoid,,,,
106070934,Pancreatic Resection,,,,
106070934,AMI,12.0,219.0,7.4,As Expected
106070934,Heart Failure,8.0,352.0,2.4,As Expected
106070934,Acute Stroke Ischemic,0.0,100.0,0.0,Better
106070934,Hip Fracture,1.0,71.0,1.2,As Expected
106070934,Carotid Endarterectomy,,,,
106070934,Pneumonia,0.0,159.0,0.0,Better
106070934,GI Hemorrhage,3.0,69.0,3.5,As Expected
106070934,PCI,7.0,231.0,4.2,As Expected
106070934,Acute Stroke,0.0,101.0,0.0,Better
106070934,Acute Stroke Hemorrhagic,,,,
106070988,Hip Fracture,3.0,232.0,1.1,As Expected
106070988,Acute Stroke Subarachnoid,11.0,39.0,20.9,As Expected
106070988,Pneumonia,12.0,287.0,3.1,As Expected
106070988,Heart Failure,15.0,476.0,2.3,As Expected
106070988,Pancreatic Resection,0.0,6.0,0.0,As Expected
106070988,PCI,2.0,58.0,4.5,As Expected
106070988,Acute Stroke Hemorrhagic,53.0,163.0,23.7,As Expected
106070988,AMI,7.0,139.0,4.5,As Expected
106070988,Carotid Endarterectomy,0.0,6.0,0.0,As Expected
106070988,Acute Stroke Ischemic,32.0,326.0,6.5,As Expected
106070988,Acute Stroke,96.0,528.0,10.4,As Expected
106070988,GI Hemorrhage,18.0,369.0,5.1,Worse
106070990,Acute Stroke,6.0,194.0,3.8,Better
106070990,GI Hemorrhage,6.0,234.0,2.4,As Expected
106070990,Acute Stroke Hemorrhagic,4.0,40.0,12.0,As Expected
106070990,Hip Fracture,1.0,222.0,0.4,Better
106070990,Pancreatic Resection,,,,
106070990,Acute Stroke Ischemic,2.0,149.0,1.5,Better
106070990,Acute Stroke Subarachnoid,0.0,5.0,0.0,As Expected
106070990,AMI,15.0,216.0,7.3,As Expected
106070990,Heart Failure,11.0,368.0,2.2,As Expected
106070990,Elective PCI Mortality,0.0,171.0,0.0,As Expected
106070990,Elective PCI Emergency CABG,0.0,171.0,0.0,As Expected
106070990,PCI,5.0,181.0,3.4,As Expected
106070990,Pneumonia,13.0,161.0,7.1,Worse
106070990,Carotid Endarterectomy,0.0,38.0,0.0,As Expected
106070990,Elective PCI Stroke,0.0,171.0,0.0,As Expected
106071018,GI Hemorrhage,11.0,260.0,4.0,As Expected
106071018,Isolated CABG Operative Mortality,0.0,191.0,0.0,Better
106071018,Carotid Endarterectomy,0.0,79.0,0.0,As Expected
106071018,Pneumonia,3.0,173.0,2.4,As Expected
106071018,Acute Stroke Subarachnoid,,,,
106071018,Pancreatic Resection,,,,
106071018,Heart Failure,26.0,597.0,4.4,Worse
106071018,AMI,20.0,419.0,5.2,As Expected
106071018,Acute Stroke Hemorrhagic,1.0,6.0,14.3,As Expected
106071018,Acute Stroke,12.0,175.0,11.9,As Expected
106071018,PCI,10.0,262.0,4.3,As Expected
106071018,Hip Fracture,2.0,89.0,2.2,As Expected
106071018,Acute Stroke Ischemic,11.0,168.0,7.4,As Expected
106074017,Hip Fracture,1.0,57.0,1.4,As Expected
106074017,Acute Stroke Subarachnoid,,,,
106074017,Acute Stroke,14.0,135.0,13.9,As Expected
106074017,Acute Stroke Hemorrhagic,6.0,6.0,38.0,Worse
106074017,AMI,2.0,77.0,4.6,As Expected
106074017,PCI,1.0,62.0,2.8,As Expected
106074017,Acute Stroke Ischemic,8.0,129.0,6.9,As Expected
106074017,Isolated CABG Operative Mortality,0.0,15.0,0.0,As Expected
106074017,GI Hemorrhage,0.0,111.0,0.0,As Expected
106074017,Heart Failure,6.0,179.0,3.5,As Expected
106074017,Pneumonia,3.0,202.0,1.9,As Expected
106074017,Carotid Endarterectomy,0.0,7.0,0.0,As Expected
106074017,Pancreatic Resection,,,,
106074097,Pancreatic Resection,1.0,17.0,8.8,As Expected
106074097,AMI,2.0,61.0,2.1,As Expected
106074097,Hip Fracture,4.0,95.0,3.3,As Expected
106074097,Acute Stroke Ischemic,6.0,131.0,5.5,As Expected
106074097,Heart Failure,7.0,231.0,2.6,As Expected
106074097,Acute Stroke Hemorrhagic,5.0,31.0,16.6,As Expected
106074097,Carotid Endarterectomy,,,,
106074097,Pneumonia,2.0,109.0,1.7,As Expected
106074097,Acute Stroke,13.0,167.0,8.4,As Expected
106074097,Acute Stroke Subarachnoid,2.0,5.0,19.2,As Expected
106074097,PCI,,,,
106074097,GI Hemorrhage,4.0,151.0,3.0,As Expected
106084001,Acute Stroke Hemorrhagic,,,,
106084001,Acute Stroke Subarachnoid,,,,
106084001,Carotid Endarterectomy,,,,
106084001,AMI,1.0,25.0,3.2,As Expected
106084001,Pneumonia,1.0,58.0,1.7,As Expected
106084001,Acute Stroke,2.0,40.0,8.5,As Expected
106084001,GI Hemorrhage,1.0,47.0,2.3,As Expected
106084001,PCI,,,,
106084001,Heart Failure,5.0,87.0,3.8,As Expected
106084001,Acute Stroke Ischemic,2.0,40.0,4.7,As Expected
106084001,Pancreatic Resection,,,,
106084001,Hip Fracture,0.0,24.0,0.0,As Expected
106090793,Hip Fracture,1.0,19.0,11.7,As Expected
106090793,Acute Stroke,1.0,18.0,61.2,As Expected
106090793,Heart Failure,1.0,49.0,4.4,As Expected
106090793,Acute Stroke Ischemic,1.0,18.0,33.6,As Expected
106090793,Acute Stroke Subarachnoid,,,,
106090793,Acute Stroke Hemorrhagic,,,,
106090793,Carotid Endarterectomy,,,,
106090793,Pneumonia,3.0,68.0,6.7,As Expected
106090793,GI Hemorrhage,0.0,9.0,0.0,As Expected
106090793,PCI,,,,
106090793,AMI,,,,
106090793,Pancreatic Resection,,,,
106090933,Acute Stroke Ischemic,2.0,81.0,3.3,As Expected
106090933,Pneumonia,9.0,180.0,4.3,As Expected
106090933,Acute Stroke Hemorrhagic,2.0,8.0,12.7,As Expected
106090933,PCI,,,,
106090933,Heart Failure,8.0,170.0,4.2,As Expected
106090933,AMI,4.0,18.0,13.1,As Expected
106090933,Acute Stroke,4.0,90.0,5.5,As Expected
106090933,GI Hemorrhage,4.0,161.0,2.7,As Expected
106090933,Carotid Endarterectomy,,,,
106090933,Acute Stroke Subarachnoid,,,,
106090933,Hip Fracture,0.0,84.0,0.0,As Expected
106090933,Pancreatic Resection,,,,
106100005,Hip Fracture,1.0,167.0,1.1,As Expected
106100005,Elective PCI Mortality,0.0,118.0,0.0,As Expected
106100005,Heart Failure,17.0,440.0,4.3,As Expected
106100005,Elective PCI Stroke,0.0,118.0,0.0,As Expected
106100005,Acute Stroke Subarachnoid,,,,
106100005,Pancreatic Resection,0.0,4.0,0.0,As Expected
106100005,AMI,7.0,150.0,5.6,As Expected
106100005,Elective PCI Emergency CABG,0.0,118.0,0.0,As Expected
106100005,Acute Stroke,11.0,205.0,9.6,As Expected
106100005,Pneumonia,9.0,385.0,2.7,As Expected
106100005,PCI,5.0,149.0,2.7,As Expected
106100005,Carotid Endarterectomy,,,,
106100005,Acute Stroke Ischemic,7.0,196.0,5.0,As Expected
106100005,GI Hemorrhage,7.0,355.0,2.7,As Expected
106100005,Acute Stroke Hemorrhagic,4.0,9.0,24.7,As Expected
106100697,Acute Stroke Subarachnoid,,,,
106100697,Pancreatic Resection,,,,
106100697,PCI,,,,
106100697,Hip Fracture,,,,
106100697,Heart Failure,1.0,5.0,38.8,As Expected
106100697,Pneumonia,0.0,23.0,0.0,As Expected
106100697,Carotid Endarterectomy,,,,
106100697,Acute Stroke Hemorrhagic,,,,
106100697,Acute Stroke,,,,
106100697,AMI,,,,
106100697,GI Hemorrhage,,,,
106100697,Acute Stroke Ischemic,,,,
106100717,Pancreatic Resection,2.0,31.0,9.1,As Expected
106100717,Isolated CABG Operative Mortality,10.0,180.0,4.21,As Expected
106100717,Acute Stroke Hemorrhagic,76.0,366.0,23.5,As Expected
106100717,Heart Failure,24.0,1182.0,3.4,As Expected
106100717,Pneumonia,12.0,689.0,3.0,As Expected
106100717,Acute Stroke,153.0,1147.0,10.4,Worse
106100717,Acute Stroke Ischemic,49.0,658.0,6.0,As Expected
106100717,Hip Fracture,1.0,130.0,0.9,As Expected
106100717,GI Hemorrhage,21.0,600.0,4.3,Worse
106100717,Acute Stroke Subarachnoid,28.0,123.0,26.0,As Expected
106100717,Carotid Endarterectomy,0.0,144.0,0.0,As Expected
106100717,PCI,11.0,405.0,3.6,As Expected
106100717,AMI,38.0,731.0,7.5,As Expected
106100797,AMI,0.0,11.0,0.0,As Expected
106100797,Pneumonia,0.0,24.0,0.0,As Expected
106100797,GI Hemorrhage,,,,
106100797,Acute Stroke,0.0,20.0,0.0,As Expected
106100797,Acute Stroke Ischemic,0.0,20.0,0.0,As Expected
106100797,Acute Stroke Hemorrhagic,,,,
106100797,Pancreatic Resection,,,,
106100797,PCI,,,,
106100797,Acute Stroke Subarachnoid,,,,
106100797,Heart Failure,0.0,13.0,0.0,As Expected
106100797,Hip Fracture,,,,
106100797,Carotid Endarterectomy,,,,
106100899,Heart Failure,27.0,945.0,2.8,As Expected
106100899,GI Hemorrhage,21.0,641.0,3.2,As Expected
106100899,Isolated CABG Operative Mortality,4.0,191.0,2.42,As Expected
106100899,Pancreatic Resection,0.0,10.0,0.0,As Expected
106100899,Pneumonia,31.0,652.0,4.9,Worse
106100899,AMI,28.0,448.0,7.5,As Expected
106100899,Hip Fracture,6.0,273.0,2.6,As Expected
106100899,PCI,14.0,436.0,4.3,As Expected
106100899,Acute Stroke Hemorrhagic,8.0,19.0,29.0,As Expected
106100899,Acute Stroke,29.0,425.0,12.1,As Expected
106100899,Acute Stroke Ischemic,21.0,405.0,6.6,As Expected
106100899,Carotid Endarterectomy,1.0,21.0,5.6,As Expected
106100899,Acute Stroke Subarachnoid,,,,
106104062,Acute Stroke Hemorrhagic,9.0,56.0,20.3,As Expected
106104062,Acute Stroke Ischemic,4.0,187.0,3.0,As Expected
106104062,Heart Failure,7.0,313.0,1.8,As Expected
106104062,Hip Fracture,2.0,128.0,2.4,As Expected
106104062,Acute Stroke Subarachnoid,1.0,3.0,26.7,As Expected
106104062,AMI,10.0,128.0,7.4,As Expected
106104062,Pneumonia,3.0,158.0,2.1,As Expected
106104062,Acute Stroke,14.0,246.0,7.6,As Expected
106104062,Carotid Endarterectomy,0.0,21.0,0.0,As Expected
106104062,Pancreatic Resection,,,,
106104062,GI Hemorrhage,4.0,137.0,3.3,As Expected
106104062,PCI,,,,
106105029,Isolated CABG Operative Mortality,6.0,210.0,3.03,As Expected
106110889,Acute Stroke Subarachnoid,,,,
106110889,Carotid Endarterectomy,,,,
106110889,Acute Stroke Ischemic,,,,
106110889,Heart Failure,0.0,5.0,0.0,As Expected
106110889,Acute Stroke,,,,
106110889,AMI,,,,
106110889,Hip Fracture,,,,
106110889,PCI,,,,
106110889,Acute Stroke Hemorrhagic,,,,
106110889,Pancreatic Resection,,,,
106110889,Pneumonia,0.0,27.0,0.0,As Expected
106110889,GI Hemorrhage,,,,
106121002,PCI,,,,
106121002,Pneumonia,1.0,58.0,3.1,As Expected
106121002,Acute Stroke Ischemic,0.0,9.0,0.0,As Expected
106121002,Acute Stroke Subarachnoid,,,,
106121002,Hip Fracture,0.0,19.0,0.0,As Expected
106121002,GI Hemorrhage,3.0,23.0,14.4,Worse
106121002,AMI,,,,
106121002,Carotid Endarterectomy,,,,
106121002,Heart Failure,0.0,23.0,0.0,As Expected
106121002,Acute Stroke,3.0,12.0,31.0,Worse
106121002,Acute Stroke Hemorrhagic,3.0,3.0,80.4,Worse
106121002,Pancreatic Resection,,,,
106121031,Acute Stroke Subarachnoid,,,,
106121031,Heart Failure,,,,
106121031,PCI,,,,
106121031,Acute Stroke,,,,
106121031,Carotid Endarterectomy,,,,
106121031,Acute Stroke Hemorrhagic,,,,
106121031,GI Hemorrhage,,,,
106121031,Acute Stroke Ischemic,,,,
106121031,AMI,,,,
106121031,Pneumonia,0.0,6.0,0.0,As Expected
106121031,Pancreatic Resection,,,,
106121031,Hip Fracture,,,,
106121051,Acute Stroke,2.0,17.0,11.7,As Expected
106121051,Pancreatic Resection,,,,
106121051,Hip Fracture,1.0,12.0,5.1,As Expected
106121051,Pneumonia,0.0,23.0,0.0,As Expected
106121051,Acute Stroke Subarachnoid,,,,
106121051,AMI,,,,
106121051,PCI,,,,
106121051,Acute Stroke Ischemic,1.0,14.0,5.8,As Expected
106121051,Acute Stroke Hemorrhagic,1.0,3.0,30.5,As Expected
106121051,Carotid Endarterectomy,,,,
106121051,GI Hemorrhage,2.0,13.0,61.5,Worse
106121051,Heart Failure,3.0,16.0,18.9,Worse
106121080,Acute Stroke Ischemic,6.0,88.0,5.9,As Expected
106121080,Acute Stroke,8.0,96.0,10.5,As Expected
106121080,GI Hemorrhage,6.0,170.0,2.8,As Expected
106121080,AMI,10.0,282.0,3.9,As Expected
106121080,Carotid Endarterectomy,0.0,69.0,0.0,As Expected
106121080,Isolated CABG Operative Mortality,1.0,18.0,3.01,As Expected
106121080,Heart Failure,16.0,272.0,5.5,Worse
106121080,Hip Fracture,2.0,86.0,2.2,As Expected
106121080,Pneumonia,5.0,101.0,4.2,As Expected
106121080,PCI,5.0,221.0,2.5,As Expected
106121080,Acute Stroke Hemorrhagic,0.0,5.0,0.0,As Expected
106121080,Pancreatic Resection,,,,
106121080,Acute Stroke Subarachnoid,2.0,3.0,31.1,As Expected
106130699,Acute Stroke,4.0,114.0,8.2,As Expected
106130699,Heart Failure,7.0,178.0,3.6,As Expected
106130699,AMI,2.0,28.0,5.1,As Expected
106130699,Pancreatic Resection,,,,
106130699,Acute Stroke Ischemic,3.0,113.0,3.4,As Expected
106130699,Hip Fracture,1.0,51.0,2.6,As Expected
106130699,GI Hemorrhage,5.0,120.0,5.4,As Expected
