,OSHPD_ID,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings
196,106190197,Acute Stroke Subarachnoid,,,,
197,106190198,AMI,1.0,15.0,4.3,As Expected
198,106190198,Pancreatic Resection,,,,
199,106190198,Acute Stroke Ischemic,0.0,32.0,0.0,As Expected
200,106190198,Acute Stroke Hemorrhagic,,,,
201,106190198,Hip Fracture,0.0,13.0,0.0,As Expected
202,106190198,Acute Stroke,0.0,33.0,0.0,As Expected
203,106190198,GI Hemorrhage,0.0,74.0,0.0,As Expected
204,106190198,Carotid Endarterectomy,,,,
205,106190198,Pneumonia,2.0,121.0,1.1,As Expected
206,106190198,PCI,,,,
207,106190198,Acute Stroke Subarachnoid,,,,
208,106190198,Heart Failure,1.0,139.0,0.5,Better
209,106190200,Hip Fracture,1.0,75.0,2.6,As Expected
210,106190200,Acute Stroke,13.0,174.0,9.4,As Expected
211,106190200,AMI,5.0,72.0,4.3,As Expected
212,106190200,Heart Failure,12.0,323.0,2.9,As Expected
213,106190200,Acute Stroke Ischemic,7.0,132.0,6.9,As Expected
214,106190200,Acute Stroke Hemorrhagic,5.0,37.0,16.2,As Expected
215,106190200,Acute Stroke Subarachnoid,1.0,5.0,23.2,As Expected
216,106190200,PCI,,,,
217,106190200,Carotid Endarterectomy,,,,
218,106190200,Pneumonia,12.0,293.0,3.2,As Expected
219,106190200,GI Hemorrhage,7.0,178.0,3.8,As Expected
220,106190200,Pancreatic Resection,,,,
221,106190256,Acute Stroke,0.0,9.0,0.0,As Expected
222,106190256,GI Hemorrhage,1.0,56.0,1.7,As Expected
223,106190256,Acute Stroke Hemorrhagic,,,,
224,106190256,Carotid Endarterectomy,,,,
225,106190256,AMI,2.0,37.0,3.4,As Expected
226,106190256,Heart Failure,3.0,102.0,3.7,As Expected
227,106190256,PCI,,,,
228,106190256,Acute Stroke Ischemic,0.0,9.0,0.0,As Expected
229,106190256,Pancreatic Resection,,,,
230,106190256,Hip Fracture,0.0,10.0,0.0,As Expected
231,106190256,Pneumonia,3.0,97.0,2.5,As Expected
232,106190256,Acute Stroke Subarachnoid,,,,
233,106190280,Pneumonia,0.0,28.0,0.0,As Expected
234,106190280,Hip Fracture,0.0,28.0,0.0,As Expected
235,106190280,Acute Stroke Subarachnoid,,,,
236,106190280,Acute Stroke,3.0,11.0,18.3,As Expected
237,106190280,Carotid Endarterectomy,,,,
238,106190280,Heart Failure,0.0,83.0,0.0,Better
239,106190280,Acute Stroke Ischemic,0.0,8.0,0.0,As Expected
240,106190280,AMI,0.0,42.0,0.0,Better
241,106190280,PCI,,,,
242,106190280,Acute Stroke Hemorrhagic,,,,
243,106190280,Pancreatic Resection,,,,
244,106190280,GI Hemorrhage,2.0,50.0,1.5,As Expected
245,106190315,Isolated CABG Operative Mortality,3.0,147.0,2.33,As Expected
246,106190315,PCI,9.0,192.0,4.6,As Expected
247,106190315,Acute Stroke Subarachnoid,3.0,11.0,23.9,As Expected
248,106190315,Carotid Endarterectomy,1.0,38.0,1.6,As Expected
249,106190315,GI Hemorrhage,6.0,203.0,3.6,As Expected
250,106190315,Hip Fracture,1.0,66.0,1.1,As Expected
251,106190315,Acute Stroke Hemorrhagic,9.0,63.0,16.3,As Expected
252,106190315,Acute Stroke,23.0,309.0,8.3,As Expected
253,106190315,Heart Failure,16.0,429.0,3.6,As Expected
254,106190315,AMI,15.0,265.0,5.4,As Expected
255,106190315,Pancreatic Resection,,,,
256,106190315,Pneumonia,14.0,286.0,4.1,As Expected
257,106190315,Acute Stroke Ischemic,11.0,235.0,5.1,As Expected
258,106190323,Acute Stroke Ischemic,12.0,281.0,4.9,As Expected
259,106190323,GI Hemorrhage,6.0,295.0,2.0,As Expected
260,106190323,Heart Failure,25.0,624.0,3.1,As Expected
261,106190323,Acute Stroke Subarachnoid,6.0,33.0,18.8,As Expected
262,106190323,Hip Fracture,2.0,134.0,1.0,As Expected
263,106190323,Acute Stroke Hemorrhagic,21.0,98.0,22.8,As Expected
264,106190323,PCI,8.0,456.0,2.8,As Expected
265,106190323,Acute Stroke,39.0,412.0,9.1,As Expected
266,106190323,Pancreatic Resection,1.0,7.0,12.2,As Expected
267,106190323,AMI,15.0,404.0,4.2,As Expected
268,106190323,Carotid Endarterectomy,0.0,7.0,0.0,As Expected
269,106190323,Pneumonia,26.0,571.0,3.3,As Expected
270,106190323,Isolated CABG Operative Mortality,1.0,130.0,0.8,As Expected
271,106190352,Pancreatic Resection,,,,
272,106190352,Hip Fracture,,,,
273,106190352,Acute Stroke Hemorrhagic,,,,
274,106190352,AMI,1.0,22.0,6.9,As Expected
275,106190352,Carotid Endarterectomy,,,,
276,106190352,PCI,,,,
277,106190352,Heart Failure,2.0,62.0,4.2,As Expected
278,106190352,Pneumonia,9.0,140.0,6.4,As Expected
279,106190352,GI Hemorrhage,0.0,49.0,0.0,As Expected
280,106190352,Acute Stroke Subarachnoid,,,,
281,106190352,Acute Stroke Ischemic,1.0,16.0,4.9,As Expected
282,106190352,Acute Stroke,1.0,17.0,8.3,As Expected
283,106190380,Carotid Endarterectomy,,,,
284,106190380,Acute Stroke Ischemic,0.0,26.0,0.0,As Expected
285,106190380,Acute Stroke Subarachnoid,,,,
286,106190380,Hip Fracture,0.0,12.0,0.0,As Expected
287,106190380,AMI,1.0,16.0,5.4,As Expected
288,106190380,Heart Failure,4.0,104.0,5.8,As Expected
289,106190380,GI Hemorrhage,3.0,93.0,3.4,As Expected
290,106190380,PCI,,,,
291,106190380,Acute Stroke Hemorrhagic,,,,
292,106190380,Pneumonia,3.0,102.0,2.4,As Expected
293,106190380,Pancreatic Resection,,,,
294,106190380,Acute Stroke,0.0,28.0,0.0,As Expected
295,106190382,Acute Stroke,15.0,218.0,7.7,As Expected
296,106190382,Acute Stroke Ischemic,6.0,165.0,4.6,As Expected
297,106190382,Pancreatic Resection,,,,
298,106190382,GI Hemorrhage,5.0,178.0,4.0,As Expected
299,106190382,Acute Stroke Subarachnoid,2.0,4.0,30.1,As Expected
300,106190382,Carotid Endarterectomy,0.0,6.0,0.0,As Expected
301,106190382,Hip Fracture,2.0,73.0,2.7,As Expected
302,106190382,PCI,10.0,147.0,7.6,Worse
303,106190382,Heart Failure,4.0,311.0,2.1,As Expected
304,106190382,Acute Stroke Hemorrhagic,7.0,49.0,15.5,As Expected
305,106190382,Pneumonia,6.0,196.0,3.6,As Expected
306,106190382,AMI,30.0,262.0,11.6,Worse
307,106190382,Isolated CABG Operative Mortality,0.0,42.0,0.0,As Expected
308,106190385,GI Hemorrhage,6.0,298.0,1.8,As Expected
309,106190385,Carotid Endarterectomy,0.0,27.0,0.0,As Expected
310,106190385,Heart Failure,12.0,570.0,1.5,Better
311,106190385,Acute Stroke Ischemic,7.0,215.0,3.9,As Expected
312,106190385,Acute Stroke Subarachnoid,4.0,6.0,32.3,As Expected
313,106190385,Pancreatic Resection,0.0,9.0,0.0,As Expected
314,106190385,Acute Stroke,32.0,297.0,9.7,As Expected
315,106190385,Isolated CABG Operative Mortality,1.0,47.0,2.09,As Expected
316,106190385,Pneumonia,6.0,301.0,1.6,As Expected
317,106190385,AMI,25.0,269.0,7.1,As Expected
318,106190385,PCI,14.0,294.0,3.9,As Expected
319,106190385,Acute Stroke Hemorrhagic,21.0,76.0,24.4,As Expected
320,106190385,Hip Fracture,1.0,132.0,0.5,As Expected
321,106190400,Isolated CABG Operative Mortality,1.0,99.0,1.6,As Expected
322,106190400,Acute Stroke Ischemic,20.0,372.0,5.5,As Expected
323,106190400,Acute Stroke,41.0,524.0,9.0,As Expected
324,106190400,Pancreatic Resection,1.0,27.0,3.0,As Expected
325,106190400,Acute Stroke Hemorrhagic,19.0,117.0,21.8,As Expected
326,106190400,Acute Stroke Subarachnoid,2.0,35.0,9.4,As Expected
327,106190400,Carotid Endarterectomy,1.0,31.0,3.4,As Expected
328,106190400,GI Hemorrhage,13.0,459.0,3.7,As Expected
329,106190400,Heart Failure,11.0,580.0,1.7,As Expected
330,106190400,PCI,6.0,172.0,4.1,As Expected
331,106190400,Pneumonia,9.0,454.0,1.8,As Expected
332,106190400,AMI,19.0,289.0,7.9,As Expected
333,106190400,Hip Fracture,5.0,223.0,2.2,As Expected
334,106190422,AMI,29.0,446.0,5.6,As Expected
335,106190422,Isolated CABG Operative Mortality,0.0,84.0,0.0,As Expected
336,106190422,Carotid Endarterectomy,0.0,52.0,0.0,As Expected
337,106190422,GI Hemorrhage,6.0,503.0,1.4,As Expected
338,106190422,Heart Failure,37.0,801.0,4.4,Worse
339,106190422,Acute Stroke Subarachnoid,1.0,13.0,7.3,As Expected
340,106190422,Acute Stroke Ischemic,17.0,441.0,4.3,As Expected
341,106190422,Acute Stroke,35.0,537.0,8.5,As Expected
342,106190422,Acute Stroke Hemorrhagic,17.0,83.0,24.3,As Expected
343,106190422,Hip Fracture,5.0,246.0,1.5,As Expected
344,106190422,PCI,17.0,398.0,3.4,As Expected
345,106190422,Pancreatic Resection,2.0,17.0,13.5,As Expected
346,106190422,Pneumonia,19.0,425.0,3.9,As Expected
347,106190470,Isolated CABG Operative Mortality,7.0,98.0,5.48,As Expected
348,106190470,Hip Fracture,5.0,177.0,2.4,As Expected
349,106190470,Acute Stroke,40.0,487.0,7.8,As Expected
350,106190470,GI Hemorrhage,10.0,379.0,2.9,As Expected
351,106190470,Heart Failure,13.0,684.0,2.1,As Expected
352,106190470,Acute Stroke Hemorrhagic,26.0,109.0,20.7,As Expected
353,106190470,Carotid Endarterectomy,0.0,5.0,0.0,As Expected
354,106190470,AMI,28.0,411.0,6.4,As Expected
355,106190470,PCI,10.0,284.0,3.7,As Expected
356,106190470,Acute Stroke Subarachnoid,1.0,6.0,13.0,As Expected
357,106190470,Pancreatic Resection,0.0,13.0,0.0,As Expected
358,106190470,Acute Stroke Ischemic,13.0,372.0,3.5,As Expected
359,106190470,Pneumonia,16.0,427.0,3.3,As Expected
360,106190517,Acute Stroke Hemorrhagic,8.0,30.0,27.0,As Expected
361,106190517,GI Hemorrhage,4.0,192.0,1.7,As Expected
362,106190517,Isolated CABG Operative Mortality,0.0,30.0,0.0,As Expected
363,106190517,Heart Failure,18.0,395.0,2.9,As Expected
364,106190517,Pneumonia,4.0,202.0,1.6,As Expected
365,106190517,Acute Stroke Subarachnoid,,,,
366,106190517,Hip Fracture,0.0,126.0,0.0,As Expected
367,106190517,AMI,9.0,171.0,4.4,As Expected
368,106190517,Pancreatic Resection,,,,
369,106190517,Acute Stroke,12.0,173.0,8.8,As Expected
370,106190517,Acute Stroke Ischemic,4.0,142.0,3.3,As Expected
371,106190517,PCI,4.0,257.0,1.9,As Expected
372,106190517,Carotid Endarterectomy,0.0,83.0,0.0,As Expected
373,106190521,Hip Fracture,0.0,27.0,0.0,As Expected
374,106190521,Heart Failure,1.0,275.0,0.6,As Expected
375,106190521,Pancreatic Resection,,,,
376,106190521,Pneumonia,0.0,104.0,0.0,As Expected
377,106190521,Acute Stroke Hemorrhagic,0.0,3.0,0.0,As Expected
378,106190521,GI Hemorrhage,4.0,144.0,3.2,As Expected
379,106190521,Acute Stroke,1.0,68.0,4.0,As Expected
380,106190521,Acute Stroke Subarachnoid,,,,
381,106190521,AMI,3.0,58.0,5.6,As Expected
382,106190521,Carotid Endarterectomy,,,,
383,106190521,Acute Stroke Ischemic,1.0,64.0,2.5,As Expected
384,106190521,PCI,,,,
385,106190522,AMI,16.0,232.0,6.8,As Expected
386,106190522,Pancreatic Resection,,,,
387,106190522,Acute Stroke Subarachnoid,0.0,4.0,0.0,As Expected
388,106190522,Heart Failure,11.0,462.0,2.3,As Expected
389,106190522,Hip Fracture,1.0,77.0,1.1,As Expected
390,106190522,Isolated CABG Operative Mortality,2.0,101.0,2.48,As Expected
391,106190522,GI Hemorrhage,5.0,172.0,2.9,As Expected
392,106190522,PCI,8.0,141.0,8.9,Worse
393,106190522,Acute Stroke Hemorrhagic,0.0,24.0,0.0,Better
394,106190522,Carotid Endarterectomy,0.0,29.0,0.0,As Expected
395,106190522,Pneumonia,9.0,292.0,2.8,As Expected
396,106190522,Acute Stroke,2.0,150.0,1.7,Better
397,106190522,Acute Stroke Ischemic,2.0,122.0,2.0,As Expected
398,106190524,Heart Failure,5.0,206.0,1.7,As Expected
399,106190524,Hip Fracture,2.0,34.0,3.6,As Expected
400,106190524,Acute Stroke Ischemic,0.0,33.0,0.0,As Expected
401,106190524,PCI,,,,
402,106190524,Acute Stroke Subarachnoid,,,,
403,106190524,AMI,0.0,24.0,0.0,As Expected
404,106190524,Carotid Endarterectomy,,,,
405,106190524,Pancreatic Resection,,,,
406,106190524,Acute Stroke Hemorrhagic,0.0,4.0,0.0,As Expected
407,106190524,Pneumonia,3.0,174.0,1.2,As Expected
408,106190524,GI Hemorrhage,3.0,103.0,4.1,As Expected
409,106190524,Acute Stroke,0.0,37.0,0.0,As Expected
410,106190547,AMI,2.0,21.0,13.1,As Expected
411,106190547,Acute Stroke Hemorrhagic,0.0,5.0,0.0,As Expected
412,106190547,Heart Failure,0.0,151.0,0.0,As Expected
413,106190547,Acute Stroke,1.0,43.0,4.7,As Expected
414,106190547,Acute Stroke Subarachnoid,,,,
415,106190547,Carotid Endarterectomy,,,,
416,106190547,Acute Stroke Ischemic,1.0,38.0,4.8,As Expected
417,106190547,Pneumonia,2.0,100.0,3.3,As Expected
418,106190547,Hip Fracture,1.0,30.0,4.0,As Expected
419,106190547,GI Hemorrhage,1.0,112.0,1.1,As Expected
420,106190547,Pancreatic Resection,,,,
421,106190547,PCI,,,,
422,106190555,AMI,44.0,741.0,5.8,As Expected
423,106190555,Acute Stroke Ischemic,32.0,552.0,4.3,As Expected
424,106190555,Hip Fracture,4.0,315.0,0.8,As Expected
425,106190555,Acute Stroke,99.0,851.0,8.2,As Expected
426,106190555,PCI,38.0,829.0,4.0,As Expected
427,106190555,Acute Stroke Subarachnoid,18.0,89.0,17.7,As Expected
428,106190555,Pancreatic Resection,0.0,117.0,0.0,As Expected
429,106190555,Carotid Endarterectomy,0.0,64.0,0.0,As Expected
430,106190555,Isolated CABG Operative Mortality,3.0,160.0,3.4,As Expected
431,106190555,Pneumonia,12.0,533.0,2.2,As Expected
432,106190555,Acute Stroke Hemorrhagic,49.0,210.0,21.1,As Expected
433,106190555,GI Hemorrhage,15.0,713.0,2.0,As Expected
434,106190555,Heart Failure,65.0,1513.0,3.6,As Expected
435,106190570,AMI,0.0,18.0,0.0,As Expected
436,106190570,Acute Stroke,0.0,21.0,0.0,As Expected
437,106190570,Carotid Endarterectomy,,,,
438,106190570,Hip Fracture,1.0,14.0,3.3,As Expected
439,106190570,PCI,,,,
440,106190570,Acute Stroke Subarachnoid,,,,
441,106190570,Acute Stroke Ischemic,0.0,21.0,0.0,As Expected
442,106190570,Pneumonia,0.0,43.0,0.0,As Expected
443,106190570,Acute Stroke Hemorrhagic,,,,
444,106190570,Pancreatic Resection,,,,
445,106190570,Heart Failure,0.0,92.0,0.0,As Expected
446,106190570,GI Hemorrhage,0.0,64.0,0.0,As Expected
447,106190587,AMI,2.0,22.0,8.6,As Expected
448,106190587,Acute Stroke Subarachnoid,,,,
449,106190587,Hip Fracture,0.0,19.0,0.0,As Expected
450,106190587,Carotid Endarterectomy,,,,
451,106190587,Pneumonia,2.0,39.0,4.8,As Expected
452,106190587,Acute Stroke,3.0,14.0,13.9,As Expected
453,106190587,GI Hemorrhage,5.0,60.0,6.9,As Expected
454,106190587,Acute Stroke Hemorrhagic,2.0,4.0,29.8,As Expected
455,106190587,Acute Stroke Ischemic,1.0,10.0,9.2,As Expected
456,106190587,Heart Failure,3.0,81.0,6.3,As Expected
457,106190587,Pancreatic Resection,,,,
458,106190587,PCI,,,,
459,106190630,Acute Stroke Ischemic,34.0,464.0,6.3,As Expected
460,106190630,Acute Stroke,71.0,621.0,10.3,As Expected
461,106190630,Hip Fracture,3.0,151.0,2.4,As Expected
462,106190630,Heart Failure,15.0,619.0,2.7,As Expected
463,106190630,Carotid Endarterectomy,0.0,3.0,0.0,As Expected
464,106190630,AMI,30.0,413.0,7.7,As Expected
465,106190630,Acute Stroke Hemorrhagic,26.0,121.0,22.0,As Expected
466,106190630,GI Hemorrhage,5.0,336.0,1.8,As Expected
467,106190630,PCI,9.0,234.0,4.2,As Expected
468,106190630,Isolated CABG Operative Mortality,3.0,126.0,1.4,As Expected
469,106190630,Pneumonia,12.0,273.0,4.5,As Expected
470,106190630,Acute Stroke Subarachnoid,11.0,36.0,24.0,As Expected
471,106190630,Pancreatic Resection,,,,
472,106190673,AMI,2.0,19.0,7.0,As Expected
473,106190673,Acute Stroke,0.0,33.0,0.0,As Expected
474,106190673,Acute Stroke Hemorrhagic,,,,
