OSHPD_ID,FacilityName,FacilityType,Address,Address2,City,State,ZIP,county,FACILITY_LEVEL_DESC,TOTAL_NUMBER_BEDS,ER_SERVICE_LEVEL_DESC,FACILITY_STATUS_DESC,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC
306374448,CENTRO MEDICO ESCONDIDO,Clinic - Federally Qualified Health Center (FQHC),1121 E WASHINGTON AVE,,ESCONDIDO,CA,92025,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306374093,NEIGHBORHOOD HEALTHCARE GRAND AVE,Clinic - Federally Qualified Health Center (FQHC),1001 E GRAND AVE,,ESCONDIDO,CA,92025,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306370412,FAMILY HEALTH CENTER FOR OLDER ADULTS,Clinic - Hospital Based or Independent,3420 COLLEGE AVE,,SAN DIEGO,CA,92115,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306244051,CASTLE FAMILY HEALTH CENTER, ,3605 Hospital Road,,Atwater,CA,95301,Merced,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306382711,NORTH EAST MEDICAL SERVICES, ,1520 Stockton Street,,San Francisco,CA,94133,San Francisco,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306370813,LOGAN HEIGHTS FAMILY HEALTH CENTER,Clinic - Federally Qualified Health Center (FQHC),2204 NATIONAL AVE,,SAN DIEGO,CA,92113,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306374565,SAN YSIDRO HEALTH SOUTH BAY,Clinic - Federally Qualified Health Center (FQHC),330 E 8TH ST,,NATIONAL CITY,CA,91950,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306371226,SAN YSIDRO HEALTH OTAY,Clinic - Federally Qualified Health Center (FQHC),1637 3RD AVE STE H,,CHULA VISTA,CA,91911,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306197886,PAISLEY WELLNESS CENTER,Clinic - Free Standing,16776 BERNARDO CENTER DR,STE 211,SAN DIEGO,CA,92128,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306370876,IMPERIAL BEACH HEALTH CENTER,Clinic - Federally Qualified Health Center (FQHC),949 PALM AVE,,IMPERIAL BEACH,CA,91932,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306130785,AIM WELLNESS CENTER,Clinic - Free Standing,444 S CEDROS AVE,STE 120,SOLANA BEACH,CA,92075,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306371581,SAN DIEGO AMERICAN INDIAN HEALTH CENTER,Clinic - Federally Qualified Health Center (FQHC),2630 1ST AVE,,SAN DIEGO,CA,92103,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
106434032,BEHAVIORAL HEALTH WORKS, ,5755 OBERLIN DR STE 300,,SAN DIEGO,CA,92121,San Diego ,Parent Facility,133.0,Not Applicable,Open,Hospital,Acute Psychiatric Hospital
306370378,NEIGHBORHOOD HEALTHCARE GOLD FAMILY HEALTH CENTER,Clinic - Federally Qualified Health Center (FQHC),13010 POWAY RD,,POWAY,CA,92064,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306197169,SOUTHERN CALIFORNIA LIVER CENTERS INC, ,131 ORANGE AVE STE 101,,CORONADO,CA,92118,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
206190643,NORTHRIDGE EYE CARE, ,530 Main Street,,Red Bluff,CA,96080,Tehama,Parent Facility,97.0,Not Applicable,Open,Long Term Care Facility,Skilled Nursing Facility
206121030,CHIROPRACTIC REHABILITATION WELLNESS CENTER,Clinic - Free Standing,115 MAIN ST,,VISTA,CA,92084,San Diego ,Parent Facility,60.0,Not Applicable,Suspense,Long Term Care Facility,Skilled Nursing Facility
306344143,UNIVERSITY EYE CENTER, ,230 Minor Hall,,Berkeley,CA,94720,Alameda,Parent Facility,,Not Applicable,Open,Clinic,Chronic Dialysis Clinic
306374180,VISTA COMMUNITY CLINIC PIER VIEW WAY,Clinic - Federally Qualified Health Center (FQHC),818 PIER VIEW WAY,,OCEANSIDE,CA,92054,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306374295,VISTA COMMUNITY CLINIC HORNE STREET,Clinic - Federally Qualified Health Center (FQHC),517 N HORNE ST,,OCEANSIDE,CA,92054,San Diego ,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306100771,UNITED HEALTH CENTERS SAN JOAQUIN VALLEY, ,1790 E Manning Avenue,,Reedley,CA,93654,Fresno,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306191356,SOUTH CENTRAL FAMILY CENTER, ,4411 S Central Avenue,,Los Angeles,CA,90011,Los Angeles,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306191103,QUEENSCARE HEALTH CENTERS, ,150 N Reno Street,,Los Angeles,CA,90026,Los Angeles,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306100373,FAMILY HEALTHCARE NETWORK, ,2333 S Mooney Boulevard,,Visalia,CA,93277,Tulare,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
106381154,UCSF MEDICAL CTR,Clinic - Other,400 PARNASSUS AVE,MCB 300,SAN FRANCISCO,CA,94143,San Francisco,Parent Facility,559.0,Emergency - Basic,Open,Hospital,General Acute Care Hospital
406196202,FACEY MEDICAL GROUP, ,11333 Sepulveda Boulevard,,Mission Hills,CA,91345,Los Angeles,Parent Facility,,Not Applicable,Open,Home Health Agency/Hospice,Hospice
306190479,UNICARE COMMUNITY HEALTH CENTER, ,308 N La Cadena Drive,,Colton,CA,92324,San Bernardino,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306190751,LOS ANGELES CHRISTIAN HEALTH CENTERS, ,325 E 7th Street,,Los Angeles,CA,90014,Los Angeles,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306100515,OMNI FAMILY HEALTH, ,141 S Mirage Avenue,,Lindsay,CA,93247,Tulare,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306197306,ST JOHNS WELL CHILD  FAMILY CENTER, ,808 W 58th Street,,Los Angeles,CA,90037,Los Angeles,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
106301188,OC ANAHEIM MEDICAL CENTER-OCAL,Hospital Inpatient,3440 E LA PALMA AVE,,ANAHEIM,CA,92806,Orange,Parent Facility,189.0,Emergency - Basic,Open,Hospital,General Acute Care Hospital
106191228,LOS ANGELES MEDICAL CENTER-LAL,Hospital Inpatient,4867 W SUNSET BLVD,,LOS ANGELES,CA,90027,Los Angeles,Parent Facility,676.0,Emergency - Comprehensive,Open,Hospital,General Acute Care Hospital
406564132,MAXIM HEALTHCARE SERVICES HOLDINGS INC, ,2141 PALOMAR AIRPORT RD,STE 350,CARLSBAD,CA,92011,San Diego ,Parent Facility,,Not Applicable,Open,Home Health Agency/Hospice,Home Health Agency
406197313,DYNAMIC HEALTHCARE, ,9955 LOWER AZUSA RD,STE 101,TEMPLE CITY,CA,91780,Los Angeles,Parent Facility,,Not Applicable,Open,Home Health Agency/Hospice,Home Health Agency
106410782,SAN MARCOS MEDICAL CENTER-SMAL,Hospital Inpatient,360 RUSH DR,,SAN MARCOS,CA,92078,San Diego ,Parent Facility,167.0,Emergency - Basic,Open,Hospital,General Acute Care Hospital
406414169,PURE HEALTH ALLIANCE, ,4638 PARK BLVD,,SAN DIEGO,CA,92116,San Diego ,Parent Facility,,Not Applicable,Open,Home Health Agency/Hospice,Home Health Agency
306190723,"SOCAL THERAPY CENTER, INC", ,19720 VENTURA BLVD,STE C,WOODLAND HILLS,CA,91364,Los Angeles,Parent Facility,,Not Applicable,Open,Clinic,Rehabilitation Clinic
306574014,SANDI CLINIC, ,60 ALTA ST,STE 103,ARCADIA,CA,91006,Los Angeles,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
406195575,HEALTH COMPASS, ,318 S DETROIT ST,STE 114,LOS ANGELES,CA,90036,Los Angeles,Parent Facility,,Not Applicable,Open,Home Health Agency/Hospice,Home Health Agency
306214057,IRVINE HEALTH CENTER, ,5500 TRABUCO RD,STE 100,IRVINE,CA,92620,Orange,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
106014233,CHENGS MEDICAL CENTER, ,320 W VALLEY BLVD,,ALHAMBRA,CA,91803,Los Angeles,Parent Facility,130.0,Emergency - Basic,Open,Hospital,General Acute Care Hospital
306344027,COMMUNITY HEALTH PARTNERS, ,2755 Herndon Ave.,,Clovis,CA,93611,Fresno,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
106100797,ADVENTIST HEALTH - REEDLEY CYPRESS,Clinic - Rural Health,372 W. Cypress Ave.,,Reedley,CA,93654,Fresno,Parent Facility,49.0,Emergency - Standby,Open,Hospital,General Acute Care Hospital
306194050,EASTLAND MEDICAL GROUP, ,1777 N BELLFLOWER BLVD,STE 114,LONG BEACH,CA,90815,Los Angeles,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306197912,TOTAL WELLNESS CENTER, ,5911 HEIL AVE,STE E,HUNTINGTON BEACH,CA,92649,Orange,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306154163,TARGET CLINIC - BAKERSFIELD,Clinic - Other,9100 ROSEDALE HWY,,BAKERSFIELD,CA,93312,Kern,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
406196636,BENE HEALTHCARE INC, ,623 W DUARTE RD,STE 2,ARCADIA,CA,91007,Los Angeles,Parent Facility,,Not Applicable,Open,Home Health Agency/Hospice,Home Health Agency
106254005,VO MEDICAL CENTER, ,222 E Cole Boulevard,,Calexico,CA,92231,Imperial,Parent Facility,58.0,Emergency - Standby,Open,Hospital,General Acute Care Hospital
406191957,HOLISTIC HEALING HANDS INC, ,3153 LOS FELIZ BLVD,,LOS ANGELES,CA,90039,Los Angeles,Parent Facility,,Not Applicable,Open,Home Health Agency/Hospice,Hospice
306200640,CAMARENA HEALTH - ALMOND CAMPUS MEDICAL,Clinic - Federally Qualified Health Center (FQHC),740 E. Almond Ave.,,Madera,CA,93637,Madera,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306240945,GOLDEN VALLEY HEALTH CTR MERCED,Clinic - Federally Qualified Health Center (FQHC),847 WEST CHILDS AVE,,MERCED,CA,95341,Merced,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306444023,CLINICA DEL VALLE DEL PAJARO,Clinic - Federally Qualified Health Center (FQHC),45 NEILSON ST,,WATSONVILLE,CA,95076,Santa Cruz,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306430707,ALISAL HEALTH CENTER,Clinic - Federally Qualified Health Center (FQHC),559 E ALISAL ST,STE 201,SALINAS,CA,93905,Monterey,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306400506,COMMUNITY HEALTH CENTER AT TEMPLETON,Clinic - Federally Qualified Health Center (FQHC),1330 LAS TABLAS RD,,TEMPLETON,CA,93465,San Luis Obispo,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306270355,ONE MEDICAL GROUP,Clinic - Other,110 SUTTER ST,FL 6,SAN FRANCISCO,CA,94104,San Francisco,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306204032,CAMARENA HEALTH - I STREET, ,509 S. I St. C,,Madera,CA,93637,Madera,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306240787,LIVINGSTON COMMUNITY HEALTH CAMPUS,Clinic - Federally Qualified Health Center (FQHC),600 B ST,STE B,LIVINGSTON,CA,95334,Merced,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306271848,CLINICA DE SALUD DEL VALLE DE SALINAS SOLEDAD,Clinic - Federally Qualified Health Center (FQHC),799 FRONT ST,,SOLEDAD,CA,93960,Monterey,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306394057,ENCINO HEALTH CENTER, ,16101 VENTURA BLVD,STE 328,ENCINO,CA,91436,Los Angeles,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
106270744,COMMUNITY HOSPITAL THE MONTEREY PENINSULA PHYSICIANS,Hospital Inpatient,23625 HOLMAN HWY,,MONTEREY,CA,93940,Monterey,Parent Facility,258.0,Emergency - Basic,Open,Hospital,General Acute Care Hospital
306197151,VALLEY HEALTH CTR TULLY,Clinic - Other,500 TULLY RD,,SAN JOSE,CA,95111,Santa Clara,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306244010,GOLDEN VALLEY HEALTH CTR MERCED WOMEN'S HEALTH,Clinic - Federally Qualified Health Center (FQHC),797 WEST CHILDS AVE,,MERCED,CA,95341,Merced,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
406362668,DOLE HEALTH CARE INC, ,7138 SHOUP AVE,STE B4,WEST HILLS,CA,91307,Los Angeles,Parent Facility,,Not Applicable,Open,Home Health Agency/Hospice,Home Health Agency
206190267,ROSEMEAD HEALTHCARE CENTER, ,4116 ROSEMEAD BLVD,,ROSEMEAD,CA,91770,Los Angeles,Parent Facility,99.0,Not Applicable,Open,Long Term Care Facility,Skilled Nursing Facility
306400587,COMMUNITY HEALTH CENTERS LOS ROBLES,Clinic - Federally Qualified Health Center (FQHC),416 A SPRING ST,,PASO ROBLES,CA,93446,San Luis Obispo,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306440769,EAST CLIFF FAMILY HEALTH CENTER,Clinic - Federally Qualified Health Center (FQHC),1510 CAPITOLA RD,,SANTA CRUZ,CA,95062,Santa Cruz,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306242279,GOLDEN VALLEY HEALTH CTR LOS BANOS,Clinic - Federally Qualified Health Center (FQHC),821 TEXAS AVE,,LOS BANOS,CA,93635,Merced,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
106240942,MERCY MEDICAL CTR MERCED,Clinic - Rural Health,315 E 13TH ST,,MERCED,CA,95341,Merced,Parent Facility,186.0,Emergency - Basic,Open,Hospital,General Acute Care Hospital
306370724,HOPE MEDICAL CLINIC, ,3327 SAN GABRIEL BLVD,STE A,ROSEMEAD,CA,91770,Los Angeles,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
406191776,ATLANTIC HEALTHCARE INC, ,901 E VALLEY BLVD,,SAN GABRIEL,CA,91776,Los Angeles,Parent Facility,,Not Applicable,Open,Home Health Agency/Hospice,Home Health Agency
306441847,SANTA CRUZ WOMEN'S HEALTH CENTER,Clinic - Federally Qualified Health Center (FQHC),250 LOCUST ST,,SANTA CRUZ,CA,95060,Santa Cruz,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
406195857,HAZEL HEALTH SERVICES, ,10775 PIONEER TRL,STE 215,TRUCKEE,CA,96161,Nevada,Parent Facility,,Not Applicable,Open,Home Health Agency/Hospice,Home Health Agency
306400680,COMMUNITY HEALTH CENTERS SAN MIGUEL,Clinic - Federally Qualified Health Center (FQHC),1385 MISSION STREET,,SAN MIGUEL,CA,93451,San Luis Obispo,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306441852,SALUD PARA LA GENTE,Clinic - Federally Qualified Health Center (FQHC),204 E BEACH ST,,WATSONVILLE,CA,95076,Santa Cruz,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306244048,GOLDEN VALLEY HEALTH CENTER NORTHVIEW,Clinic - Federally Qualified Health Center (FQHC),3940 SANDPIPER AVE,,MERCED,CA,95340,Merced,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306330755,PLAZITA MEDICAL CLINIC, ,1150 MAIN ST,STE 3,WATSONVILLE,CA,95076,Santa Cruz,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306544054,IMG - OROSI FAMILY MEDICAL CARE,Clinic - Rural Health,12683 Avenue 416,,Orosi,CA,93647,Tulare,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
106540816,ADVENTIST HEALTH - HURON,Clinic - Rural Health,16916 5th St,,Huron,CA,93234,Fresno,Parent Facility,108.0,Emergency - Basic,Open,Hospital,General Acute Care Hospital
306104069,"CENTRAL VALLEY INDIAN HEALTH CLINIC, PRATHER",Clinic - Indian Health Service Facility,29369 Auberry Rd. 102,,Prather,CA,93651,Fresno,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306100650,FRESNO AMERICAN INDIAN HEALTH PROJECT,Clinic - Federally Qualified Health Center (FQHC),1551 E. Shaw Ave. 139,,Fresno,CA,93710,Fresno,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
106164029,ADVENTIST HEALTH - HANFORD,Clinic - Rural Health,1025 N. Douty St.,,Hanford,CA,93230,Kings,Parent Facility,173.0,Emergency - Basic,Open,Hospital,General Acute Care Hospital
306544101,FAMILY HEALTHCARE NETWORK - VISALIA OAK,Clinic - Federally Qualified Health Center (FQHC),400 E. Oak Ave.,,Visalia,CA,93291,Tulare,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
206010953,ADVANCED HEALTH & WELLNESS CENTER, ,24868 APPLE ST,STE 101,SANTA CLARITA,CA,91321,Los Angeles,Parent Facility,166.0,Not Applicable,Open,Long Term Care Facility,Skilled Nursing Facility
306164041,ARIA COMMUNITY HEALTH CENTER - STRATFORD,Clinic - Federally Qualified Health Center (FQHC),20326 Main St,,Stratford,CA,93266,Kings,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306105106,NORTH MARKS MEDICAL CLINIC,Clinic - Federally Qualified Health Center (FQHC),4011 N. Marks Ave.,,Fresno,CA,93722,Fresno,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306197914,VALLEY HEALTH TEAM-DINUBA COMMUNITY HEALTH CENTERS,Clinic - Federally Qualified Health Center (FQHC),888 N. Alta Ave.,,Dinuba,CA,93618,Tulare,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306105101,CENTRAL VALLEY INDIAN HEALTH INC.-HERNDON AVENUE,Clinic - Indian Health Service Facility,2740 Herndon Ave.,,Clovis,CA,93611,Fresno,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306100777,PLANNED PARENTHOOD MAR MONTE- FULTON STREET HLTH CENTER,Clinic - Other,650 N. Fulton St.,,Fresno,CA,93728,Fresno,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
106100793,ADVENTIST HEALTH - KERMAN,Clinic - Rural Health,1000 S. Madera Ave.,,Kerman,CA,93630,Fresno,Consolidated Facility,62.0,Emergency - Standby,Open,Hospital,General Acute Care Hospital
306164036,ARIA COMMUNITY HEALTH CENTER - LEMOORE 209,Clinic - Federally Qualified Health Center (FQHC),209 C St.,,Lemoore,CA,93245,Kings,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
206331371,VISALIA HEALTH CARE CENTER,Clinic - Federally Qualified Health Center (FQHC),2611 N. Dinuba Blvd.,,Visalia,CA,93291,Tulare,Parent Facility,59.0,Not Applicable,Open,Long Term Care Facility,Skilled Nursing Facility
306196123,FAMILY HEALTHCARE CENTER, ,3150 E IMPERIAL HWY,STE 200,LYNWOOD,CA,90262,Los Angeles,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
106481357,ORCHARD MEDICAL CENTER,Clinic - Federally Qualified Health Center (FQHC),555 Sixth St.,,Orange Cove,CA,93646,Fresno,Parent Facility,154.0,Emergency - Basic,Open,Hospital,General Acute Care Hospital
206431104,"RENEW BEHAVIORAL HEALTH, INC", ,4000 LONG BEACH BLVD,STE 228,LONG BEACH,CA,90807,Los Angeles,Parent Facility,116.0,Not Applicable,Open,Long Term Care Facility,Skilled Nursing Facility
406300134,ONE HEALTHCARE, ,1184 N EUCLID ST,,ANAHEIM,CA,92801,Orange,Parent Facility,,Not Applicable,Open,Home Health Agency/Hospice,Home Health Agency
306244049,CASTLE FAMILY HEALTH CENTER AT CASTLE,Clinic - Federally Qualified Health Center (FQHC),3605 HOSPITAL RD,,ATWATER,CA,95301,Merced,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306220485,COMMUNITY HEALTH CENTERS OF AMERICA  LIVINGSTON, ,517 Main St,Ste A,Livingston,CA,95334,Merced,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
106274043,NATIVIDAD MEDICAL GROUP, ,1441 CONSTITUTION BLVD,BLDG 200 STE 105,SALINAS,CA,93906,Monterey,Parent Facility,172.0,Emergency - Basic,Open,Hospital,General Acute Care Hospital
306105140,CENTRAL VALLEY INDIAN HEALTH- BULLARD,Clinic - Indian Health Service Facility,255 W. Bullard Ave. 109,,Clovis,CA,93612,Fresno,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306244001,GOLDEN VALLEY HEALTH CTR DOS PALOS,Clinic - Federally Qualified Health Center (FQHC),1405 CALIFORNIA AVE,,DOS PALOS,CA,93620,Merced,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306197832,SOLEDAD MEDICAL CLINIC,Clinic - Rural Health,600 MAIN ST,,SOLEDAD,CA,93960,Monterey,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
106190170,CHILDRENS HOSPITAL LOS ANGELES MEDICAL GRP, ,4650 W SUNSET BLVD,,LOS ANGELES,CA,90027,Los Angeles,Parent Facility,438.0,Emergency - Basic,Open,Hospital,General Acute Care Hospital
306200087,PLANNED PARENTHOOD MAR MONTE FRESNO,Clinic - Other,650 N FULTON ST,,FRESNO,CA,93728,Fresno,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306240492,CASTLE FAMILY HEALTH CENTER AT WINTON,Clinic - Federally Qualified Health Center (FQHC),6029 N WINTON WAY,,WINTON,CA,95388,Merced,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306014350,PLANNED PARENTHOOD SEASIDE,Clinic - Other,625 HILBY AVE,,SEASIDE,CA,93955,Monterey,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
306197778,SEASIDE FAMILY HEALTH CENTER,Clinic - Federally Qualified Health Center (FQHC),1156 FREMONT BLVD,,SEASIDE,CA,93955,Monterey,Parent Facility,,Not Applicable,Open,Clinic,Community Clinic
