,PROVIDER TAXONOMY CODE,MEDICARE PROVIDER/SUPPLIER TYPE DESCRIPTION,"PROVIDER TAXONOMY DESCRIPTION:  TYPE, CLASSIFICATION, SPECIALIZATION",MEDICARE SPECIALTY CODE
63,208D00000X,Physician/General Practice,Allopathic & Osteopathic Physicians/General Practice,01
64,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
65,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
66,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
67,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
68,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
69,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
70,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
71,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
72,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
73,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
74,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
75,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
76,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
77,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
78,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
79,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
80,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
81,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
82,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
83,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
84,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
85,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
86,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
87,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
88,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
89,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
90,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
91,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
92,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
93,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
94,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
95,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
96,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
97,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
98,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
99,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
100,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
101,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
102,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
103,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
104,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
105,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
106,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
107,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
108,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
109,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
110,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
111,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
112,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
113,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
114,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
115,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
116,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
117,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
118,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
119,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
120,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
121,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
122,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
123,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
124,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
125,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
126,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
127,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
128,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
129,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
130,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
131,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
132,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
133,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
134,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
135,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
136,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
137,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
138,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
139,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
140,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
141,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
142,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
143,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
144,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
145,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
146,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
147,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
148,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
149,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
150,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
151,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
152,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
153,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
154,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
155,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
156,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
157,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
158,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
159,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
160,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
161,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
162,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
163,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
164,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
165,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
166,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
167,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
168,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
169,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
170,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
171,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
172,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
173,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
174,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
175,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
176,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
177,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
178,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
179,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
180,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
181,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
182,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
183,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
184,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
185,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
186,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
187,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
188,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
189,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
190,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
191,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
192,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
193,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
194,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
195,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
196,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
197,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
198,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
199,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
200,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
201,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
202,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
203,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
204,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
205,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
206,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
207,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
208,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
209,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
210,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
211,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
212,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
213,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
214,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
215,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
216,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
217,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
218,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
219,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
220,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
221,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
222,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
223,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
224,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
225,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
226,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
227,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
228,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
229,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
230,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
231,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
232,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
233,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
234,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
235,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
236,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
237,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
238,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
239,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
240,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
241,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
242,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
243,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
244,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
245,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
246,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
247,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
248,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
249,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
250,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
251,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
252,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
253,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
254,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
255,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
256,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
257,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
258,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
259,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
260,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
261,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
262,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
263,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
264,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
265,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
266,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
267,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
268,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
269,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
270,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
271,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
272,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
273,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
274,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
275,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
276,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
277,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
278,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
279,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
280,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
281,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
282,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
283,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
284,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
285,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
286,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
287,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
288,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
289,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
290,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
291,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
292,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
293,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
294,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
295,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
296,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
297,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
298,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
299,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
300,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
301,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
302,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
303,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
304,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
305,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
306,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
307,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
308,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
309,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
310,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
311,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
312,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
313,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
314,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
315,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
316,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
317,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
318,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
319,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
320,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
321,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
322,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
323,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
324,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
325,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
326,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
327,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
328,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
329,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
330,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
331,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
332,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
333,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
334,208600000X,Physician/General Surgery,Allopathic & Osteopathic Physicians/Surgery,02
